model_name,dataset_name,mitigation,sensitive_col,accuracy,demographic_parity_difference,equalized_odds_difference,disparate_impact_ratio,accuracy_by_group,target
logreg,adult,none,sex_Male,0.8453505718547986,0.16043110431104307,0.06803309758392256,2.610859251449657,"{0: 0.921239837398374, 1: 0.808610086100861}",income
logreg,adult,reject_option_classification,sex_Male,0.7821979114868225,0.0497408724087241,0.16080202858150427,1.149908172894899,"{0: 0.7713414634146342, 1: 0.7874538745387454}",income
logreg,adult,equalized_odds,sex_Male,0.8272832753190784,0.0979311043110431,0.006918672018002003,1.6041643049659335,"{0: 0.8658536585365854, 1: 0.808610086100861}",income
logreg,adult,calibrated_equalized_odds,sex_Male,0.8301011105585944,0.11418264182641825,0.08762867554450954,2.1464869342570974,"{0: 0.921239837398374, 1: 0.7859778597785978}",income
svc,adult,none,sex_Male,0.7969501077407591,0.048196981969819704,0.020702278795613704,1.8782561158944924,"{0: 0.8938008130081301, 1: 0.7500615006150062}",income
svc,adult,reject_option_classification,sex_Male,0.7976131277971159,0.04374081240812408,0.03597373591496078,1.6886553505535054,"{0: 0.891260162601626, 1: 0.7522755227552276}",income
svc,adult,equalized_odds,sex_Male,0.7933034974307973,0.04514820148201482,0.013340274395875706,1.7794005308474137,"{0: 0.8826219512195121, 1: 0.7500615006150062}",income
svc,adult,calibrated_equalized_odds,sex_Male,0.7972816177689375,0.05429454294542946,0.010402286358197493,2.113038130381304,"{0: 0.8948170731707317, 1: 0.7500615006150062}",income
gbc,adult,none,sex_Male,0.8576164428973977,0.1691780667806678,0.08450183882181062,3.1206524549321926,"{0: 0.9278455284552846, 1: 0.8236162361623616}",income
gbc,adult,reject_option_classification,sex_Male,0.8095474888115366,0.03964239642396422,0.16128230532838506,1.128316177898621,"{0: 0.7931910569105691, 1: 0.8174661746617466}",income
gbc,adult,equalized_odds,sex_Male,0.8314271506713078,0.09320830708307082,0.010962400712018705,1.7028120626033845,"{0: 0.8780487804878049, 1: 0.8088560885608856}",income
gbc,adult,calibrated_equalized_odds,sex_Male,0.8393833913475882,0.11554953049530495,0.044937782330517706,2.448417044680001,"{0: 0.9278455284552846, 1: 0.7965559655596556}",income
xgboost,adult,none,sex_Male,0.8639151334327864,0.18302695526955268,0.0741309326957224,2.9682898796201074,"{0: 0.9329268292682927, 1: 0.8305043050430504}",income
xgboost,adult,reject_option_classification,sex_Male,0.8251284601359191,0.04320718207182073,0.1694839543905019,1.1491784812584969,"{0: 0.8135162601626016, 1: 0.830750307503075}",income
xgboost,adult,equalized_odds,sex_Male,0.8408751864743909,0.10498042480424805,0.0005709583704176513,1.668613190986279,"{0: 0.8760162601626016, 1: 0.8238622386223863}",income
xgboost,adult,calibrated_equalized_odds,sex_Male,0.8471738770097795,0.13407246572465725,0.05661842376076886,2.4418284838586093,"{0: 0.9329268292682927, 1: 0.8056580565805658}",income
adversarial_debiasing_nn,adult,adversarial_debiasing,sex_Male,0.7795458312613956,0.022073095730957323,0.19496549060437623,1.1864371347576137,"{0: 0.8790650406504065, 1: 0.7313653136531365}",income
