model_name,dataset_name,mitigation,sensitive_col,accuracy,demographic_parity_difference,equalized_odds_difference,disparate_impact_ratio,accuracy_by_group,target
logreg,compas,none,sex_Male,0.6708246708246708,0.25840634835761767,0.23695393506714257,0.6602435049372064,"{0: 0.7007042253521126, 1: 0.6635030198446937}",is_recid
logreg,compas,reject_option_classification,sex_Male,0.6708246708246708,0.01708004715089506,0.08438799004836739,1.0384978840543984,"{0: 0.6725352112676056, 1: 0.6704055220017257}",is_recid
logreg,compas,equalized_odds,sex_Male,0.6334026334026334,0.03263194351614429,0.00434529543994866,0.9493580767290437,"{0: 0.6549295774647887, 1: 0.6281276962899051}",is_recid
logreg,compas,calibrated_equalized_odds,sex_Male,0.6528066528066528,0.49784296807592754,0.660377358490566,0.5021570319240725,"{0: 0.6091549295774648, 1: 0.6635030198446937}",is_recid
svc,compas,none,sex_Male,0.668052668052668,0.15356548262829783,0.1414378612716763,0.7642562320733157,"{0: 0.7112676056338029, 1: 0.6574633304572908}",is_recid
svc,compas,reject_option_classification,sex_Male,0.6860706860706861,0.03794857149801312,0.010538840727519982,0.9417438145652123,"{0: 0.7112676056338029, 1: 0.6798964624676446}",is_recid
svc,compas,equalized_odds,sex_Male,0.6548856548856549,0.037508050893801104,0.005017662170841375,0.9308293087413018,"{0: 0.6584507042253521, 1: 0.6540120793787748}",is_recid
svc,compas,calibrated_equalized_odds,sex_Male,0.6486486486486487,0.5012942191544435,0.6586620926243568,0.4987057808455565,"{0: 0.6091549295774648, 1: 0.6583261432269197}",is_recid
gbc,compas,none,sex_Male,0.6756756756756757,0.21342463755787527,0.21484625883108543,0.6999376382849674,"{0: 0.7429577464788732, 1: 0.6591889559965487}",is_recid
gbc,compas,reject_option_classification,sex_Male,0.683991683991684,0.04953882049848701,0.04017140333975594,0.9209605335866835,"{0: 0.7288732394366197, 1: 0.6729939603106126}",is_recid
gbc,compas,equalized_odds,sex_Male,0.6576576576576577,0.037508050893801104,0.003152380510871078,0.9308293087413018,"{0: 0.6584507042253521, 1: 0.6574633304572908}",is_recid
gbc,compas,calibrated_equalized_odds,sex_Male,0.6493416493416494,0.5021570319240725,0.660377358490566,0.49784296807592754,"{0: 0.6091549295774648, 1: 0.6591889559965487}",is_recid
xgboost,compas,none,sex_Male,0.6701316701316701,0.16524687382274666,0.14946612074502247,0.7699504305604898,"{0: 0.721830985915493, 1: 0.6574633304572908}",is_recid
