dataset,model,mitigation,baseline_di_gap,mitigated_di_gap,di_gap_improvement,accuracy_cost
compas,logreg,reject_option_classification,0.3704,0.0899,0.2805,0.0
compas,logreg,equalized_odds,0.3704,0.0279,0.3426,0.0624
compas,logreg,calibrated_equalized_odds,0.3704,0.4375,-0.0671,0.0104
compas,svc,reject_option_classification,0.2525,0.081,0.1714,-0.0035
compas,svc,equalized_odds,0.2525,0.0361,0.2163,0.0416
compas,svc,calibrated_equalized_odds,0.2525,0.375,-0.1225,0.0132
compas,gbc,reject_option_classification,0.277,0.0181,0.2589,-0.0028
compas,gbc,equalized_odds,0.277,0.0511,0.2259,0.0319
compas,gbc,calibrated_equalized_odds,0.277,0.441,-0.164,0.0166
compas,xgboost,reject_option_classification,0.1796,0.0076,0.172,0.0028
compas,xgboost,equalized_odds,0.1796,0.0481,0.1315,0.0208
compas,xgboost,calibrated_equalized_odds,0.1796,0.3854,-0.2058,0.0132
adult,logreg,reject_option_classification,1.6109,0.1499,1.461,0.0632
adult,logreg,equalized_odds,1.6109,0.6042,1.0067,0.0181
adult,logreg,calibrated_equalized_odds,1.6109,1.1465,0.4644,0.0152
adult,svc,reject_option_classification,0.8783,0.6887,0.1896,-0.0007
adult,svc,equalized_odds,0.8783,0.7794,0.0989,0.0036
adult,svc,calibrated_equalized_odds,0.8783,1.113,-0.2348,-0.0003
adult,gbc,reject_option_classification,2.1207,0.1283,1.9923,0.0481
adult,gbc,equalized_odds,2.1207,0.7028,1.4178,0.0262
adult,gbc,calibrated_equalized_odds,2.1207,1.4484,0.6722,0.0182
adult,xgboost,reject_option_classification,1.9683,0.1492,1.8191,0.0388
adult,xgboost,equalized_odds,1.9683,0.6686,1.2997,0.023
adult,xgboost,calibrated_equalized_odds,1.9683,1.4418,0.5265,0.0167
german,logreg,reject_option_classification,0.1036,0.0794,0.0242,0.03
german,logreg,equalized_odds,0.1036,0.0071,0.0964,0.085
german,logreg,calibrated_equalized_odds,0.1036,0.5,-0.3964,0.005
german,svc,reject_option_classification,0.0099,0.0026,0.0073,-0.025
german,svc,equalized_odds,0.0099,0.0099,0.0,0.01
german,svc,calibrated_equalized_odds,0.0099,0.0255,-0.0157,-0.01
german,gbc,reject_option_classification,0.1357,0.0102,0.1255,-0.015
german,gbc,equalized_odds,0.1357,0.0453,0.0904,0.015
german,gbc,calibrated_equalized_odds,0.1357,0.5,-0.3643,0.04
german,xgboost,reject_option_classification,0.0286,0.0679,-0.0393,0.01
german,xgboost,equalized_odds,0.0286,0.019,0.0095,0.005
german,xgboost,calibrated_equalized_odds,0.0286,0.1238,-0.0952,0.02
