model_name,dataset_name,mitigation,sensitive_col,accuracy,demographic_parity_difference,equalized_odds_difference,disparate_impact_ratio,accuracy_by_group,target
logreg,german,none,sex_Male,0.695,0.06904761904761914,0.09499999999999997,1.1035714285714286,"{0: 0.6333333333333333, 1: 0.7214285714285714}",credit_risk
logreg,german,reject_option_classification,sex_Male,0.665,0.0357142857142857,0.075,0.9206349206349207,"{0: 0.6833333333333333, 1: 0.6571428571428571}",credit_risk
logreg,german,equalized_odds,sex_Male,0.61,0.004761904761904745,0.07499999999999996,1.0071428571428571,"{0: 0.6333333333333333, 1: 0.6}",credit_risk
logreg,german,calibrated_equalized_odds,sex_Male,0.69,0.33333333333333337,0.44999999999999996,1.5,"{0: 0.6333333333333333, 1: 0.7142857142857143}",credit_risk
svc,german,none,sex_Male,0.71,0.00952380952380949,0.030000000000000027,0.9901477832512315,"{0: 0.7, 1: 0.7142857142857143}",credit_risk
svc,german,reject_option_classification,sex_Male,0.735,0.0023809523809523725,0.04999999999999993,1.0025510204081634,"{0: 0.7333333333333333, 1: 0.7357142857142858}",credit_risk
svc,german,equalized_odds,sex_Male,0.7,0.00952380952380949,0.02499999999999991,0.9901477832512315,"{0: 0.6666666666666666, 1: 0.7142857142857143}",credit_risk
svc,german,calibrated_equalized_odds,sex_Male,0.72,0.023809523809523836,0.125,1.0255102040816326,"{0: 0.7333333333333333, 1: 0.7142857142857143}",credit_risk
gbc,german,none,sex_Male,0.76,0.09047619047619049,0.07499999999999996,1.1357142857142857,"{0: 0.7333333333333333, 1: 0.7714285714285715}",credit_risk
gbc,german,reject_option_classification,sex_Male,0.775,0.0071428571428571175,0.050000000000000044,0.9897959183673469,"{0: 0.7666666666666667, 1: 0.7785714285714286}",credit_risk
gbc,german,equalized_odds,sex_Male,0.745,0.030952380952380953,0.04999999999999999,1.0452961672473868,"{0: 0.75, 1: 0.7428571428571429}",credit_risk
gbc,german,calibrated_equalized_odds,sex_Male,0.72,0.33333333333333337,0.6,1.5,"{0: 0.7333333333333333, 1: 0.7142857142857143}",credit_risk
xgboost,german,none,sex_Male,0.745,0.021428571428571463,0.025000000000000022,1.0285714285714287,"{0: 0.7166666666666667, 1: 0.7571428571428571}",credit_risk
xgboost,german,reject_option_classification,sex_Male,0.735,0.04523809523809519,0.10000000000000003,0.9321428571428572,"{0: 0.7333333333333333, 1: 0.7357142857142858}",credit_risk
xgboost,german,equalized_odds,sex_Male,0.74,0.014285714285714235,0.025000000000000022,1.019047619047619,"{0: 0.7166666666666667, 1: 0.75}",credit_risk
xgboost,german,calibrated_equalized_odds,sex_Male,0.725,0.09285714285714286,0.1499999999999999,1.1238095238095238,"{0: 0.7166666666666667, 1: 0.7285714285714285}",credit_risk
adversarial_debiasing_nn,german,adversarial_debiasing,sex_Male,0.7,0.0,0.0,1.0,"{0: 0.6666666666666666, 1: 0.7142857142857143}",credit_risk
